"id:ID","uri","endpoint_desc","outcome_level","endpoint_purpose"
"1542","http://id.d4k.dk/dataset/study/1/E001","Disease control rate of AZD6738 + Durvalumab cohort [ Time Frame: through study completion, an average of 1 year ]","PRIMARY","EFFICACY"
"1543","http://id.d4k.dk/dataset/study/1/E002","Disease control rate of AZD6738 + Olaparib cohort [ Time Frame: through study completion, an average of 1 year ]","PRIMARY","EFFICACY"
"1544","http://id.d4k.dk/dataset/study/1/E003","Overall response rate of AZD6738 + Durvalumab cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","EFFICACY"
"1545","http://id.d4k.dk/dataset/study/1/E004","progression-free survival of AZD6738 + Durvalumab cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","EFFICACY"
"1546","http://id.d4k.dk/dataset/study/1/E005","duration of response of AZD6738 + Durvalumab cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","PHARMACODYNAMIC"
"1547","http://id.d4k.dk/dataset/study/1/E006","overall survival of response of AZD6738 + Durvalumab cohort [ Time Frame: every 12 weeks until death or up to 5 years ]","SECONDARY","EFFICACY"
"1548","http://id.d4k.dk/dataset/study/1/E007","Safety and tolerability of AZD6738 + Durvalumab cohort measured by number and grade of toxicity events [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","SAFETY"
"1549","http://id.d4k.dk/dataset/study/1/E008","quality of life measurement of AZD6738 + Durvalumab cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","EFFICACY"
"1550","http://id.d4k.dk/dataset/study/1/E009","overall response rate (ORR) of AZD6738 + Olaparib cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","EFFICACY"
"1551","http://id.d4k.dk/dataset/study/1/E010","progression-free survival of AZD6738 + Olaparib cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","EFFICACY"
"1552","http://id.d4k.dk/dataset/study/1/E011","duration of response of AZD6738 + Olaparib cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","PHARMACODYNAMIC"
"1553","http://id.d4k.dk/dataset/study/1/E012","overall survival of AZD6738 + Olaparib cohort [ Time Frame: every 12 weeks until death or up to 5 years ]","SECONDARY","EFFICACY"
"1554","http://id.d4k.dk/dataset/study/1/E013","Safety and tolerability of AZD6738 + Olaparib cohort as measured by number and grade of toxicity events [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","SAFETY"
"1555","http://id.d4k.dk/dataset/study/1/E014","quality of life measurement of AZD6738 + Olaparib cohort [ Time Frame: through study completion, an average of 1 year ]","SECONDARY","EFFICACY"
