"id:ID","uri","code","code_system","code_system_version","decode"
"1371","http://id.d4k.dk/dataset/study/1/CD001","24662006","SNOMED-CT","4.0.6.4","Influenza due to Influenza virus, type B"
"1372","http://id.d4k.dk/dataset/study/1/CD002","1022000","MEDDRA","Nov18_2021","Influenza"
"1373","http://id.d4k.dk/dataset/study/1/CD003","J11.1","ICD 10","","Influenza due to unidentified influenza virus with other respiratory manifestations"
"1374","http://id.d4k.dk/dataset/study/1/CD004","C22.1","ICD 10","","Intrahepatic bile duct carcinoma"
"1375","http://id.d4k.dk/dataset/study/1/CD005","371970002","SNOMED-CT","4.0.6.4","Primary malignant neoplasm of biliary tract (disorder)"
"1376","http://id.d4k.dk/dataset/study/1/CD006","10004596","MEDDRA","Nov18_2021","Bile duct cancer recurrent"
"1377","http://id.d4k.dk/dataset/study/1/CD007","J07BX03","ATC 2020","","Covid-19 vaccines"
"1378","http://id.d4k.dk/dataset/study/1/CD008","L01XC28","ATC","14-12-2021","Durvalumab"
"1379","http://id.d4k.dk/dataset/study/1/CD009","L01XK01","ATC","14-12-2021","Olaparib"
"1380","http://id.d4k.dk/dataset/study/1/CD010","249565666","PubChem","09/02/2021","Durvalumab; Imfinzi; Anti-B7H1; Monoclonal Antibody"
