"id","alt_label","definition","identifier","notation","pref_label","uri"
"3814","Alpha-1 Acid Glycoprotein","A measurement of the alpha-1 acid glycoprotein in a biological specimen.","C100429","A1AGLP","Alpha-1 Acid Glycoprotein Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C100429"
"3815","Alpha-1 Antitrypsin, Functional","A measurement of the functional alpha-1 antitrypsin in a biological specimen.","C181404","A1ANTRPF","Functional Alpha-1 Antitrypsin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181404"
"3816","Alpha-1 Antitrypsin;Serum Trypsin Inhibitor","A measurement of the alpha-1 antitrypsin in a biological specimen.","C80167","A1ANTRYP","Alpha-1 Antitrypsin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C80167"
"3817","Alpha-1 Microglobulin/Creatinine","A relative measurement (ratio or percentage) of the alpha-1 microglobulin to creatinine in a biological specimen.","C100462","A1MCREAT","Alpha-1 Microglobulin to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C100462"
"3818","Alpha-1 Microglobulin;Protein HC","A measurement of the alpha-1 microglobulin in a biological specimen.","C100461","A1MICG","Alpha-1 Microglobulin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C100461"
"3819","Alpha-2 Macroglobulin","A measurement of the alpha-2 macroglobulin in a biological specimen.","C80168","A2MACG","Alpha-2 Macroglobulin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C80168"
"3820","7-Alpha hydroxy-4-cholesten-3-one;7-alpha-Hydroxy-4-cholesten-3-one","A measurement of the 7-alpha-hydroxy-4-cholesten-3-one in a biological specimen.","C172524","A73OXC","7-alpha-Hydroxy-4-cholesten-3-one Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C172524"
"3821","Alpha-Aminoadipate;Alpha-Aminoadipic Acid","A measurement of the alpha-aminoadipic acid in a biological specimen.","C154761","AAMAPAC","Alpha-Aminoadipic Acid Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154761"
"3822","Alpha-aminobutyrate;Alpha-Aminobutyric Acid;Homoalanine","A measurement of the alpha-aminobutyric acid in a biological specimen.","C154759","AAMBTAC","Alpha-Aminobutyric Acid Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154759"
"3823","Alanine Aminopeptidase","A measurement of the alanine aminopeptidase in a biological specimen.","C100430","AAP","Alanine Aminopeptidase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C100430"
